epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,139.766,0.64724,0.56475,0.94852,0.9934,1,0.995,0.84934,0.71099,0.38698,0.94595,0.00038375,0.00038375,0.00038375
44,142.319,0.63577,0.55945,0.94729,0.9925,1,0.995,0.8374,0.68769,0.38088,0.92949,0.000363125,0.000363125,0.000363125
45,145.872,0.65066,0.56981,0.9618,0.99051,1,0.995,0.84275,0.67245,0.38571,0.92119,0.0003425,0.0003425,0.0003425
46,148.553,0.60166,0.54607,0.93942,0.98809,1,0.995,0.85786,0.66004,0.38226,0.91393,0.000321875,0.000321875,0.000321875
47,151.04,0.63694,0.54594,0.95785,0.98498,1,0.995,0.8456,0.687,0.38132,0.93445,0.00030125,0.00030125,0.00030125
48,154.247,0.62757,0.53463,0.94584,0.98636,1,0.995,0.85006,0.68768,0.37209,0.9343,0.000280625,0.000280625,0.000280625
49,157.719,0.64497,0.54687,0.9702,0.98888,1,0.995,0.85516,0.6757,0.36942,0.92697,0.00026,0.00026,0.00026
50,160.964,0.6054,0.5305,0.93483,0.99288,1,0.995,0.84236,0.6916,0.35986,0.93022,0.000239375,0.000239375,0.000239375
51,173.841,0.54134,0.55367,0.91199,0.99248,1,0.995,0.83975,0.7123,0.37165,0.93714,0.00021875,0.00021875,0.00021875
52,179.482,0.52959,0.54885,0.88552,0.99021,1,0.995,0.84289,0.71709,0.39642,0.93852,0.000198125,0.000198125,0.000198125
53,184.096,0.5307,0.5572,0.90255,0.98964,1,0.995,0.84908,0.71322,0.39136,0.93973,0.0001775,0.0001775,0.0001775
54,187.199,0.53035,0.54487,0.90675,0.98536,1,0.995,0.84489,0.70157,0.37335,0.93831,0.000156875,0.000156875,0.000156875
55,190.354,0.54859,0.54375,0.88698,0.98632,1,0.995,0.83768,0.69135,0.36403,0.93696,0.00013625,0.00013625,0.00013625
56,193.068,0.5067,0.50557,0.88544,0.99009,1,0.995,0.83621,0.70185,0.3561,0.94225,0.000115625,0.000115625,0.000115625
57,196.326,0.52943,0.51712,0.8987,0.99152,1,0.995,0.83052,0.70453,0.35646,0.94196,9.5e-05,9.5e-05,9.5e-05
58,199.538,0.50093,0.5026,0.88514,0.99283,1,0.995,0.83391,0.70114,0.35902,0.93708,7.4375e-05,7.4375e-05,7.4375e-05
59,202.19,0.52033,0.51519,0.88731,0.99332,1,0.995,0.832,0.70284,0.36032,0.93553,5.375e-05,5.375e-05,5.375e-05
60,204.749,0.50925,0.51436,0.88391,0.99349,1,0.995,0.83364,0.70056,0.35611,0.93618,3.3125e-05,3.3125e-05,3.3125e-05
